Property ID,Estatus,Property Name,dataLayer name,Property Description,Grupo,Property Type,Tipo de datos,Ejemplo de respuesta,Front/Back,Fuente
,No implementado,action_add_region,action_add_region,,,,String,,,Amplitude
,No implementado,action_add_status,action_add_status,,,,String,,,Amplitude
,No implementado,action_add_transmission,action_add_transmission,,,,String,,,Amplitude
,No implementado,action_add_year,action_add_year,,,,String,,,Amplitude
,No implementado,action_code,action_code,,,,String,,,Insider
,No implementado,action_remove_body_type,action_remove_body_type,,,,String,,,Amplitude
,No implementado,action_remove_color,action_remove_color,,,,String,,,Amplitude
,No implementado,action_remove_fuel_type,action_remove_fuel_type,,,,String,,,Amplitude
,No implementado,action_remove_location,action_remove_location,,,,String,,,Amplitude
,No implementado,action_remove_maker,action_remove_maker,,,,String,,,Amplitude
,No implementado,action_remove_model,action_remove_model,,,,String,,,Amplitude
,No implementado,action_remove_passengers,action_remove_passengers,,,,String,,,Amplitude
,No implementado,action_remove_promotion_name,action_remove_promotion_name,,,,String,,,Amplitude
,No implementado,action_remove_region,action_remove_region,,,,String,,,Amplitude
,No implementado,action_remove_status,action_remove_status,,,,String,,,Amplitude
,No implementado,action_remove_transmission,action_remove_transmission,,,,String,,,Amplitude
,No implementado,action_remove_year,action_remove_year,,,,String,,,Amplitude
,No implementado,active_maintenance,active_maintenance,,,,String,,,Amplitude
,No implementado,ad_group_id,ad_group_id,,,,String,,,Amplitude
,No implementado,ad_group_name,ad_group_name,,,,String,,,Amplitude
,No implementado,ad_group_type,ad_group_type,,,,String,,,Amplitude
,No implementado,ad_id,ad_id,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.activate_app,ad_metrics.actions.activate_app,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.add_to_cart,ad_metrics.actions.add_to_cart,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.app_install,ad_metrics.actions.app_install,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.complete_registration,ad_metrics.actions.complete_registration,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.facebook_lead,ad_metrics.actions.facebook_lead,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.initiated_checkout,ad_metrics.actions.initiated_checkout,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.lead,ad_metrics.actions.lead,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.page_engagement,ad_metrics.actions.page_engagement,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.post_engagement,ad_metrics.actions.post_engagement,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.purchase,ad_metrics.actions.purchase,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.search,ad_metrics.actions.search,,,,String,,,Amplitude
,No implementado,ad_metrics.actions.view_content,ad_metrics.actions.view_content,,,,String,,,Amplitude
,No implementado,ad_metrics.clicks,ad_metrics.clicks,,,,String,,,Amplitude
,No implementado,ad_metrics.conversions,ad_metrics.conversions,,,,String,,,Amplitude
,No implementado,ad_metrics.cost,ad_metrics.cost,,,,String,,,Amplitude
,No implementado,ad_metrics.impressions,ad_metrics.impressions,,,,String,,,Amplitude
,No implementado,ad_metrics.interactions,ad_metrics.interactions,,,,String,,,Amplitude
,No implementado,ad_name,ad_name,,,,String,,,Amplitude
,No implementado,ad_platform,ad_platform,,,,String,,,Amplitude
,No implementado,ad_segment_device,ad_segment_device,,,,String,,,Amplitude
,No implementado,af_content,af_content,,,,String,,,Amplitude
,No implementado,af_content_id,af_content_id,,,,String,,,Amplitude
,No implementado,af_content_type,af_content_type,,,,String,,,Amplitude
,No implementado,af_currency,af_currency,,,,String,,,Amplitude
,No implementado,af_customer_user_id,af_customer_user_id,,,,String,,,Amplitude
,No implementado,af_price,af_price,,,,String,,,Amplitude
,No implementado,af_quantity,af_quantity,,,,String,,,Amplitude
,No implementado,agent,agent,,,,String,,,Amplitude
,No implementado,algoliaIndexName,algoliaIndexName,,,,String,,,Amplitude
,No implementado,algolia_ab_test_id,algolia_ab_test_id,,,,String,,,Amplitude
,No implementado,algolia_ab_test_variant,algolia_ab_test_variant,,,,String,,,Amplitude
,No implementado,algolia_ab_test_variant_id,algolia_ab_test_variant_id,,,,String,,,Amplitude
,No implementado,algolia_index_name,algolia_index_name,,,,String,,,Amplitude
,No implementado,amount_of_audios_added,amount_of_audios_added,,,,String,,,Amplitude
,No implementado,amount_of_comments_added,amount_of_comments_added,,,,String,,,Amplitude
,No implementado,amount_of_days,amount_of_days,,,,String,,,Amplitude
,No implementado,amount_of_hours,amount_of_hours,,,,String,,,Amplitude
,No implementado,amount_of_images_added,amount_of_images_added,,,,String,,,Amplitude
,No implementado,amount_of_videos_added,amount_of_videos_added,,,,String,,,Amplitude
,No implementado,answer,answer,,,,String,,,Amplitude
,No implementado,apollo_currency,apollo_currency,,,,String,,,Amplitude
,No implementado,apollo_offer_consignment,apollo_offer_consignment,,,,String,,,Amplitude
,No implementado,apollo_offer_id,apollo_offer_id,,,,String,,,Amplitude
,No implementado,apollo_offer_instantpurchase,apollo_offer_instantpurchase,,,,String,,,Amplitude
,No implementado,apollo_offer_tradein,apollo_offer_tradein,,,,String,,,Amplitude
,No implementado,apollo_offer_version_v2,apollo_offer_version_v2,,,,String,,,Amplitude
,No implementado,app_name,app_name,,,,String,,,Amplitude
,No implementado,applicationName,applicationName,,,,String,,,Amplitude
,No implementado,applicationVersion,applicationVersion,,,,String,,,Amplitude
,No implementado,appointmentId,appointmentId,,,,String,,,Amplitude
,No implementado,appointmentReason,appointmentReason,,,,String,,,Amplitude
,No implementado,appointment_schedule_timestamp,appointment_schedule_timestamp,,,,String,,,Amplitude
,No implementado,appointment_status,appointment_status,,,,String,,,Amplitude
,No implementado,auth_flow_name,auth_flow_name,,,,String,,,Amplitude
,No implementado,autoequity_estimate,autoequity_estimate,,,,String,,,Amplitude
,No implementado,banner_name,banner_name,,,,String,,,Amplitude
,No implementado,birth_date,birth_date,,,,String,,,Amplitude
,No implementado,birthdate,birthdate,,,,String,,,Amplitude
,No implementado,body_type,body_type,,,,String,,,Amplitude
,No implementado,booking_creation_date,booking_creation_date,,,,String,,,Amplitude
,No implementado,booking_creation_date_localtime,booking_creation_date_localtime,,,,String,,,Amplitude
,No implementado,booking_id,booking_id,,,,String,,,Amplitude
,No implementado,brand,brand,,,,String,,,Amplitude
,No implementado,bundle_id,bundle_id,,,,String,,,Amplitude
,No implementado,bundle_name,bundle_name,,,,String,,,Amplitude
,No implementado,bundle_option,bundle_option,,,,String,,,Amplitude
,No implementado,bureauStatus,bureauStatus,,,,String,,,Amplitude
,No implementado,buying_power,buying_power,,,,String,,,Amplitude
,No implementado,c_apolo_id,c_apolo_id,,,,String,,,Insider
,No implementado,c_appointment_day,c_appointment_day,,,,String,,,Insider
,No implementado,c_appointment_hour,c_appointment_hour,,,,String,,,Insider
,No implementado,c_autoequity_estimate,c_autoequity_estimate,,,,String,,,Insider
,No implementado,c_booking_creation_date,c_booking_creation_date,,,,String,,,Insider
,No implementado,c_booking_creation_date_local_time,c_booking_creation_date_local_time,,,,String,,,Insider
,No implementado,c_booking_id,c_booking_id,,,,String,,,Insider
,No implementado,c_bundle_option,c_bundle_option,,,,String,,,Insider
,No implementado,c_buying_power,c_buying_power,,,,String,,,Insider
,No implementado,c_c_p_new_instant_offer_difference,c_c_p_new_instant_offer_difference,,,,String,,,Insider
,No implementado,c_c_q_new_instant_trade_in_offer_difference,c_c_q_new_instant_trade_in_offer_difference,,,,String,,,Insider
,No implementado,c_car_availabilty,c_car_availabilty,,,,String,,,Insider
,No implementado,c_car_body,c_car_body,,,,String,,,Insider
,No implementado,c_car_bodytype,c_car_bodytype,,,,String,,,Insider
,No implementado,c_car_bodytype_1,c_car_bodytype_1,,,,String,,,Insider
,No implementado,c_car_bodytype_2,c_car_bodytype_2,,,,String,,,Insider
,No implementado,c_car_bodytype_3,c_car_bodytype_3,,,,String,,,Insider
,No implementado,c_car_bodytype_4,c_car_bodytype_4,,,,String,,,Insider
,No implementado,c_car_bodytype_5,c_car_bodytype_5,,,,String,,,Insider
,No implementado,c_car_bodytype_6,c_car_bodytype_6,,,,String,,,Insider
,No implementado,c_car_bodytype_7,c_car_bodytype_7,,,,String,,,Insider
,No implementado,c_car_bodytype_8,c_car_bodytype_8,,,,String,,,Insider
,No implementado,c_car_color,c_car_color,,,,String,,,Insider
,No implementado,c_car_color_1,c_car_color_1,,,,String,,,Insider
,No implementado,c_car_color_2,c_car_color_2,,,,String,,,Insider
,No implementado,c_car_color_3,c_car_color_3,,,,String,,,Insider
,No implementado,c_car_color_4,c_car_color_4,,,,String,,,Insider
,No implementado,c_car_color_5,c_car_color_5,,,,String,,,Insider
,No implementado,c_car_color_6,c_car_color_6,,,,String,,,Insider
,No implementado,c_car_color_7,c_car_color_7,,,,String,,,Insider
,No implementado,c_car_color_8,c_car_color_8,,,,String,,,Insider
,No implementado,c_car_condition,c_car_condition,,,,String,,,Insider
,No implementado,c_car_discount,c_car_discount,,,,String,,,Insider
,No implementado,c_car_financing_price,c_car_financing_price,,,,String,,,Insider
,No implementado,c_car_fuel,c_car_fuel,,,,String,,,Insider
,No implementado,c_car_fuel_1,c_car_fuel_1,,,,String,,,Insider
,No implementado,c_car_fuel_2,c_car_fuel_2,,,,String,,,Insider
,No implementado,c_car_fuel_3,c_car_fuel_3,,,,String,,,Insider
,No implementado,c_car_fuel_4,c_car_fuel_4,,,,String,,,Insider
,No implementado,c_car_fuel_5,c_car_fuel_5,,,,String,,,Insider
,No implementado,c_car_fuel_6,c_car_fuel_6,,,,String,,,Insider
,No implementado,c_car_fuel_7,c_car_fuel_7,,,,String,,,Insider
,No implementado,c_car_fuel_8,c_car_fuel_8,,,,String,,,Insider
,No implementado,c_car_generic_image_url,c_car_generic_image_url,,,,String,,,Insider
,No implementado,c_car_id,c_car_id,,,,String,,,Insider
,No implementado,c_car_id_1,c_car_id_1,,,,String,,,Insider
,No implementado,c_car_id_2,c_car_id_2,,,,String,,,Insider
,No implementado,c_car_id_3,c_car_id_3,,,,String,,,Insider
,No implementado,c_car_id_4,c_car_id_4,,,,String,,,Insider
,No implementado,c_car_id_5,c_car_id_5,,,,String,,,Insider
,No implementado,c_car_id_6,c_car_id_6,,,,String,,,Insider
,No implementado,c_car_id_7,c_car_id_7,,,,String,,,Insider
,No implementado,c_car_id_8,c_car_id_8,,,,String,,,Insider
,No implementado,c_car_image_url,c_car_image_url,,,,String,,,Insider
,No implementado,c_car_image_url_1,c_car_image_url_1,,,,String,,,Insider
,No implementado,c_car_image_url_2,c_car_image_url_2,,,,String,,,Insider
,No implementado,c_car_image_url_3,c_car_image_url_3,,,,String,,,Insider
,No implementado,c_car_image_url_4,c_car_image_url_4,,,,String,,,Insider
,No implementado,c_car_image_url_5,c_car_image_url_5,,,,String,,,Insider
,No implementado,c_car_image_url_6,c_car_image_url_6,,,,String,,,Insider
,No implementado,c_car_image_url_7,c_car_image_url_7,,,,String,,,Insider
,No implementado,c_car_image_url_8,c_car_image_url_8,,,,String,,,Insider
,No implementado,c_car_loan_url,c_car_loan_url,,,,String,,,Insider
,No implementado,c_car_location,c_car_location,,,,String,,,Insider
,No implementado,c_car_location_1,c_car_location_1,,,,String,,,Insider
,No implementado,c_car_location_2,c_car_location_2,,,,String,,,Insider
,No implementado,c_car_location_3,c_car_location_3,,,,String,,,Insider
,No implementado,c_car_location_4,c_car_location_4,,,,String,,,Insider
,No implementado,c_car_location_5,c_car_location_5,,,,String,,,Insider
,No implementado,c_car_location_6,c_car_location_6,,,,String,,,Insider
,No implementado,c_car_location_7,c_car_location_7,,,,String,,,Insider
,No implementado,c_car_location_8,c_car_location_8,,,,String,,,Insider
,No implementado,c_car_make,c_car_make,,,,String,,,Insider
,No implementado,c_car_make_1,c_car_make_1,,,,String,,,Insider
,No implementado,c_car_make_2,c_car_make_2,,,,String,,,Insider
,No implementado,c_car_make_3,c_car_make_3,,,,String,,,Insider
,No implementado,c_car_make_4,c_car_make_4,,,,String,,,Insider
,No implementado,c_car_make_5,c_car_make_5,,,,String,,,Insider
,No implementado,c_car_make_6,c_car_make_6,,,,String,,,Insider
,No implementado,c_car_make_7,c_car_make_7,,,,String,,,Insider
,No implementado,c_car_make_8,c_car_make_8,,,,String,,,Insider
,No implementado,c_car_mileage,c_car_mileage,,,,String,,,Insider
,No implementado,c_car_mileage_1,c_car_mileage_1,,,,String,,,Insider
,No implementado,c_car_mileage_2,c_car_mileage_2,,,,String,,,Insider
,No implementado,c_car_mileage_3,c_car_mileage_3,,,,String,,,Insider
,No implementado,c_car_mileage_4,c_car_mileage_4,,,,String,,,Insider
,No implementado,c_car_mileage_5,c_car_mileage_5,,,,String,,,Insider
,No implementado,c_car_mileage_6,c_car_mileage_6,,,,String,,,Insider
,No implementado,c_car_mileage_7,c_car_mileage_7,,,,String,,,Insider
,No implementado,c_car_mileage_8,c_car_mileage_8,,,,String,,,Insider
,No implementado,c_car_model,c_car_model,,,,String,,,Insider
,No implementado,c_car_model_1,c_car_model_1,,,,String,,,Insider
,No implementado,c_car_model_2,c_car_model_2,,,,String,,,Insider
,No implementado,c_car_model_3,c_car_model_3,,,,String,,,Insider
,No implementado,c_car_model_4,c_car_model_4,,,,String,,,Insider
,No implementado,c_car_model_5,c_car_model_5,,,,String,,,Insider
,No implementado,c_car_model_6,c_car_model_6,,,,String,,,Insider
,No implementado,c_car_model_7,c_car_model_7,,,,String,,,Insider
,No implementado,c_car_model_8,c_car_model_8,,,,String,,,Insider
,No implementado,c_car_plates,c_car_plates,,,,String,,,Insider
,No implementado,c_car_price,c_car_price,,,,String,,,Insider
,No implementado,c_car_price_1,c_car_price_1,,,,String,,,Insider
,No implementado,c_car_price_2,c_car_price_2,,,,String,,,Insider
,No implementado,c_car_price_3,c_car_price_3,,,,String,,,Insider
,No implementado,c_car_price_4,c_car_price_4,,,,String,,,Insider
,No implementado,c_car_price_5,c_car_price_5,,,,String,,,Insider
,No implementado,c_car_price_6,c_car_price_6,,,,String,,,Insider
,No implementado,c_car_price_7,c_car_price_7,,,,String,,,Insider
,No implementado,c_car_price_8,c_car_price_8,,,,String,,,Insider
,No implementado,c_car_price_financing,c_car_price_financing,,,,String,,,Insider
,No implementado,c_car_price_financing_final,c_car_price_financing_final,,,,String,,,Insider
,No implementado,c_car_pricefinal,c_car_pricefinal,,,,String,,,Insider
,No implementado,c_car_promotion,c_car_promotion,,,,String,,,Insider
,No implementado,c_car_region_id,c_car_region_id,,,,String,,,Insider
,No implementado,c_car_scarcity,c_car_scarcity,,,,String,,,Insider
,No implementado,c_car_status,c_car_status,,,,String,,,Insider
,No implementado,c_car_transmission,c_car_transmission,,,,String,,,Insider
,No implementado,c_car_transmission_1,c_car_transmission_1,,,,String,,,Insider
,No implementado,c_car_transmission_2,c_car_transmission_2,,,,String,,,Insider
,No implementado,c_car_transmission_3,c_car_transmission_3,,,,String,,,Insider
,No implementado,c_car_transmission_4,c_car_transmission_4,,,,String,,,Insider
,No implementado,c_car_transmission_5,c_car_transmission_5,,,,String,,,Insider
,No implementado,c_car_transmission_6,c_car_transmission_6,,,,String,,,Insider
,No implementado,c_car_transmission_7,c_car_transmission_7,,,,String,,,Insider
,No implementado,c_car_transmission_8,c_car_transmission_8,,,,String,,,Insider
,No implementado,c_car_type,c_car_type,,,,String,,,Insider
,No implementado,c_car_url,c_car_url,,,,String,,,Insider
,No implementado,c_car_url_1,c_car_url_1,,,,String,,,Insider
,No implementado,c_car_url_2,c_car_url_2,,,,String,,,Insider
,No implementado,c_car_url_3,c_car_url_3,,,,String,,,Insider
,No implementado,c_car_url_4,c_car_url_4,,,,String,,,Insider
,No implementado,c_car_url_5,c_car_url_5,,,,String,,,Insider
,No implementado,c_car_url_6,c_car_url_6,,,,String,,,Insider
,No implementado,c_car_url_7,c_car_url_7,,,,String,,,Insider
,No implementado,c_car_url_8,c_car_url_8,,,,String,,,Insider
,No implementado,c_car_version,c_car_version,,,,String,,,Insider
,No implementado,c_car_version_1,c_car_version_1,,,,String,,,Insider
,No implementado,c_car_version_2,c_car_version_2,,,,String,,,Insider
,No implementado,c_car_version_3,c_car_version_3,,,,String,,,Insider
,No implementado,c_car_version_4,c_car_version_4,,,,String,,,Insider
,No implementado,c_car_version_5,c_car_version_5,,,,String,,,Insider
,No implementado,c_car_version_6,c_car_version_6,,,,String,,,Insider
,No implementado,c_car_version_7,c_car_version_7,,,,String,,,Insider
,No implementado,c_car_version_8,c_car_version_8,,,,String,,,Insider
,No implementado,c_car_year,c_car_year,,,,String,,,Insider
,No implementado,c_car_year_1,c_car_year_1,,,,String,,,Insider
,No implementado,c_car_year_2,c_car_year_2,,,,String,,,Insider
,No implementado,c_car_year_3,c_car_year_3,,,,String,,,Insider
,No implementado,c_car_year_4,c_car_year_4,,,,String,,,Insider
,No implementado,c_car_year_5,c_car_year_5,,,,String,,,Insider
,No implementado,c_car_year_6,c_car_year_6,,,,String,,,Insider
,No implementado,c_car_year_7,c_car_year_7,,,,String,,,Insider
,No implementado,c_car_year_8,c_car_year_8,,,,String,,,Insider
,No implementado,c_catalog_maxprice_url,c_catalog_maxprice_url,,,,String,,,Insider
,No implementado,c_catalog_minprice_url,c_catalog_minprice_url,,,,String,,,Insider
,No implementado,c_coming_soon,c_coming_soon,,,,String,,,Insider
,No implementado,c_country_code,c_country_code,,,,String,,,Insider
,No implementado,c_country_id,c_country_id,,,,String,,,Insider
,No implementado,c_country_iso,c_country_iso,,,,String,,,Insider
,No implementado,c_credit_12m_value,c_credit_12m_value,,,,String,,,Insider
,No implementado,c_credit_24m_value,c_credit_24m_value,,,,String,,,Insider
,No implementado,c_credit_36m_value,c_credit_36m_value,,,,String,,,Insider
,No implementado,c_credit_48m_value,c_credit_48m_value,,,,String,,,Insider
,No implementado,c_credit_60m_value,c_credit_60m_value,,,,String,,,Insider
,No implementado,c_credit_72m_value,c_credit_72m_value,,,,String,,,Insider
,No implementado,c_credit_downpayment_value,c_credit_downpayment_value,,,,String,,,Insider
,No implementado,c_credit_preapproved_value,c_credit_preapproved_value,,,,String,,,Insider
,No implementado,c_currency,c_currency,,,,String,,,Insider
,No implementado,c_days_since_lowest_offer_l90d,c_days_since_lowest_offer_l90d,,,,String,,,Insider
,No implementado,c_discount_module,c_discount_module,,,,String,,,Insider
,No implementado,c_downpayment_value,c_downpayment_value,,,,String,,,Insider
,No implementado,c_empty_state,c_empty_state,,,,String,,,Insider
,No implementado,c_event_action,c_event_action,,,,String,,,Insider
,No implementado,c_event_category,c_event_category,,,,String,,,Insider
,No implementado,c_event_label,c_event_label,,,,String,,,Insider
,No implementado,c_experiment_flag,c_experiment_flag,,,,String,,,Insider
,No implementado,c_external_cars,c_external_cars,,,,String,,,Insider
,No implementado,c_favourite_status,c_favourite_status,,,,String,,,Insider
,No implementado,c_final_offer_amount,c_final_offer_amount,,,,String,,,Insider
,No implementado,c_final_offer_currency,c_final_offer_currency,,,,String,,,Insider
,No implementado,c_final_offer_type,c_final_offer_type,,,,String,,,Insider
,No implementado,c_financing_discount,c_financing_discount,,,,String,,,Insider
,No implementado,c_flag_active_offer,c_flag_active_offer,,,,String,,,Insider
,No implementado,c_flag_arrived_to_inspection,c_flag_arrived_to_inspection,,,,String,,,Insider
,No implementado,c_flag_enough_aging,c_flag_enough_aging,,,,String,,,Insider
,No implementado,c_flag_last_register_sku_in_moh,c_flag_last_register_sku_in_moh,,,,String,,,Insider
,No implementado,c_flag_offer_inst_om,c_flag_offer_inst_om,,,,String,,,Insider
,No implementado,c_flag_offer_inst_reac,c_flag_offer_inst_reac,,,,String,,,Insider
,No implementado,c_flag_register_vips_mean,c_flag_register_vips_mean,,,,String,,,Insider
,No implementado,c_flag_sku_prio,c_flag_sku_prio,,,,String,,,Insider
,No implementado,c_flagg_active_offer,c_flagg_active_offer,,,,String,,,Insider
,No implementado,c_flagg_arrived_to_inspection,c_flagg_arrived_to_inspection,,,,String,,,Insider
,No implementado,c_flagg_enough_aging,c_flagg_enough_aging,,,,String,,,Insider
,No implementado,c_flagg_last_register_sku_in_moh,c_flagg_last_register_sku_in_moh,,,,String,,,Insider
,No implementado,c_flagg_register_vips_mean,c_flagg_register_vips_mean,,,,String,,,Insider
,No implementado,c_flagg_sku_prio,c_flagg_sku_prio,,,,String,,,Insider
,No implementado,c_flow,c_flow,,,,String,,,Insider
,No implementado,c_front,c_front,,,,String,,,Insider
,No implementado,c_funnel,c_funnel,,,,String,,,Insider
,No implementado,c_funnel_step,c_funnel_step,,,,String,,,Insider
